Code,Service
6300,Parking adjacent to the station
6300,Bicycle parking
5900,Accessibility
5900,Ticket machine
5900,drinking machines
5900,Atm
5900,Food and drinks shop
5900,Parking adjacent to the station
5900,Bicycle parking
5900,Library
5800,Accessibility
5800,Ticket machine
5800,drinking machines
5800,Atm
5800,Parking adjacent to the station
5800,Library
5800,Piano
5800,Food and drinks shop
5800,Bicycle parking
5300,Accessibility
5300,Ticket machine
5300,Parking adjacent to the station
5300,Bicycle parking
5200,Accessibility
5200,Ticket machine
5200,Food and drinks shop
5200,Parking adjacent to the station
5200,Library
5200,Bicycle parking
5200,Atm
5200,drinking machines
5150,Accessibility
5150,Ticket machine
5150,Parking adjacent to the station
5150,Bicycle parking
5150,drinking machines
5010,Accessibility
5010,Ticket machine
5010,Parking adjacent to the station
5010,Bicycle parking
5010,drinking machines
5000,Accessibility
5000,Ticket machine
5000,Food and drinks shop
5000,Bicycle parking
5000,Atm
5000,drinking machines
5000,Parking adjacent to the station
5000,A device for raising / lowering a wheelchair at the platform
5000,Access to people with mobility disabilities
5000,Accessible toilet
5000,Rav-Kav Service stands
4800,Accessibility
4800,Ticket machine
4800,Parking adjacent to the station
4800,Bicycle parking
4800,drinking machines
4690,Accessibility
4690,Ticket machine
4690,drinking machines
4690,Atm
4690,Bicycle parking
4690,Food and drink stand
4680,Accessibility
4680,Ticket machine
4680,drinking machines
4680,Food and drinks shop
4680,Piano
4680,Library
4680,Atm
4680,Bicycle parking
4660,Accessibility
4660,Ticket machine
4660,Bicycle parking
4660,Food and drink stand
4660,Atm
4660,drinking machines
4640,Accessibility
4640,Ticket machine
4640,Bicycle parking
4640,Atm
4640,drinking machines
4600,Accessibility
4600,Ticket machine
4600,Food and drinks shop
4600,Library
4600,Bicycle parking
4600,Lockers
4600,Atm
4600,drinking machines
4250,Accessibility
4250,Ticket machine
4250,Parking adjacent to the station
4250,Bicycle parking
4250,Wi-Fi
4250,drinking machines
4170,Accessibility
4170,Ticket machine
4170,Food and drinks shop
4170,Parking adjacent to the station
4170,Bicycle parking
4170,Atm
4170,drinking machines
4100,Accessibility
4100,Ticket machine
4100,drinking machines
4100,Parking adjacent to the station
4100,Bicycle parking
3700,Accessibility
3700,Ticket machine
3700,Food and drinks shop
3700,Piano
3700,Library
3700,Bicycle parking
3700,Lockers
3700,Candy and gift shop
3700,drinking machines
3700,Handicapped parking
3700,Pay phone
3700,Atm
3600,Accessibility
3600,Ticket machine
3600,Food and drinks shop
3600,Piano
3600,Bicycle parking
3600,Lockers
3600,drinking machines
3500,Accessibility
3500,Ticket machine
3500,Food and drinks shop
3500,Parking adjacent to the station
3500,Library
3500,Bicycle parking
3500,Atm
3500,drinking machines
3400,Accessibility
3400,Ticket machine
3400,drinking machines
3400,Atm
3400,Parking adjacent to the station
3400,Bicycle parking
3400,Food and drink stand
3310,Ticket machine
3310,Bicycle parking
3310,Food and drink stand
3310,drinking machines
3300,Accessibility
3300,Ticket machine
3300,Food and drinks shop
3300,Parking adjacent to the station
3300,Library
3300,Bicycle parking
3300,Atm
3300,drinking machines
3100,Accessibility
3100,Ticket machine
3100,Food and drinks shop
3100,Parking adjacent to the station
3100,Bicycle parking
3100,Atm
3100,drinking machines
2820,Accessibility
2820,Ticket machine
2820,Parking adjacent to the station
2820,Bicycle parking
2820,Atm
2820,drinking machines
2800,Accessibility
2800,Ticket machine
2800,drinking machines
2800,Atm
2800,Food and drinks shop
2800,Parking adjacent to the station
2800,Bicycle parking
2500,Accessibility
2500,Ticket machine
2500,Parking adjacent to the station
2500,Bicycle parking
2300,Accessibility
2300,Ticket machine
2300,Food and drinks shop
2300,Parking adjacent to the station
2300,Library
2300,Piano
2300,Bicycle parking
2300,Lockers
2300,Atm
2300,drinking machines
2200,Accessibility
2200,Ticket machine
2200,Food and drinks shop
2200,Parking adjacent to the station
2200,Lockers
2200,Atm
2200,drinking machines
1600,Accessibility
1600,Ticket machine
1600,Library
1600,Bicycle parking
1600,Atm
1600,drinking machines
1500,Accessibility
1500,Ticket machine
1500,Food and drinks shop
1500,Parking adjacent to the station
1500,Bicycle parking
1500,Atm
1500,drinking machines
1300,Accessibility
1300,Ticket machine
1300,Bicycle parking
1280,Accessibility
1280,Ticket machine
1280,drinking machines
1280,Parking adjacent to the station
1280,Bicycle parking
1280,Food and drink stand
1260,Accessibility
1260,Ticket machine
1260,Parking adjacent to the station
1260,Bicycle parking
1260,Library
1260,Food and drink stand
1260,Atm
1260,drinking machines
1250,Accessibility
1250,Ticket machine
1250,drinking machines
1250,Parking adjacent to the station
1250,Bicycle parking
1240,Accessibility
1240,Ticket machine
1240,drinking machines
1240,Parking adjacent to the station
1240,Bicycle parking
1220,Accessibility
1220,Ticket machine
1220,Lockers
1220,drinking machines
1400,Accessibility
1400,Ticket machine
1400,Food and drinks shop
1400,Bicycle parking
1400,Atm
1400,drinking machines
700,Accessibility
700,Ticket machine
700,Bicycle parking
700,drinking machines
400,Accessibility
400,Ticket machine
400,Food and drinks shop
400,Library
400,Piano
400,Bicycle parking
400,Atm
400,drinking machines
300,Accessibility
300,Ticket machine
300,Bicycle parking
300,drinking machines
2100,Accessibility
2100,Ticket machine
2100,Food and drinks shop
2100,Parking adjacent to the station
2100,Bicycle parking
2100,Lockers
2100,Atm
2100,drinking machines
1820,Accessibility
1820,A device for raising / lowering a wheelchair at the platform
1820,Atm
1820,Piano
1820,Bicycle parking
1820,drinking machines
1840,Accessibility
1840,A device for raising / lowering a wheelchair at the platform
1840,Food and drinks shop
1840,Parking adjacent to the station
1840,Ticket machine
1840,Piano
1840,Bicycle parking
1840,Atm
2960,Accessibility
2960,Ticket machine
2960,Piano
2960,Bicycle parking
2960,drinking machines
2940,Accessibility
2940,Parking adjacent to the station
2940,Ticket machine
2940,Bicycle parking
2940,Food and drink stand
2940,drinking machines
680,Piano
680,Library
680,Ticket machine
680,Food and drink stand
680,Lockers
680,Atm
680,drinking machines
6150,Parking adjacent to the station
6150,Ticket machine
6150,Bicycle parking
6150,Food and drink stand
6150,drinking machines
6900,Ticket machine
6900,Bicycle parking
6900,Rav-Kav Service stands
6900,Accessible toilet
6900,Food and drink stand
